condition,comment_slot,post_id,comment,category,confidence,reasoning
AI,DSLEWPjkgrL,1,😍😍😍,emoji_only,high,no letters or digits
AI,DR2Y8p9giTt,1,Atemberaubende Welten❤️❤️❤️,praise_admiration,high,admires work with emojis
AI,DMV_EO1N3qS,1,👏👏👏,emoji_only,high,no letters or digits
AI,DQGSvs-DDyl,1,😍❤️,emoji_only,high,no letters or digits
AI,DSad9F2jfva,1,🔥🔥🔥🔥🔥,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,1,Wow so amazing 😍👏❤️Merry Christmas 💚💫,praise_admiration,high,admires work with exclamations
AI,C-44eycs1H5,2,Such a relaxing atmosphere. I love to be alone with this majestic view.,praise_admiration,high,expresses admiration and positivity
AI,DVMb9kqElDz,2,🔥😍🔥😍😍🔥😍👏,emoji_only,high,no letters or digits
AI,DNSWhv1uGjZ,2,"Yes please, beautiful soul! 💖 Always community over competition. We’re each so uniquely made—meant to be cherished, not threatened. And I’ve actually listened to Lunchbox Friends so many times when I’ve felt the sting of unkindness too 🥰💖 Your energy and art are such a gift♥️ sending love always ✨",praise_admiration,high,admires and praises the art
AI,DMyBan2tx-f,2,❤️❤️😍,emoji_only,high,no letters or digits
AI,DHOa6Ajt1dq,2,Wow beautiful,praise_admiration,high,admires the work
AI,C0sQkLEPkyC,2,🤣😂🤣🙈🎅🏽🎄💀,emoji_only,high,no letters or digits
AI,DQcyILfj1Nx,2,👏👏👏👏,emoji_only,high,no letters or digits
AI,DQhcx5VDMHT,2,😍😍😍,emoji_only,high,no letters or digits
AI,DVYkAyEDF9p,2,👏😍😍😍,emoji_only,high,no letters or digits
AI,Co-OeX8tLU-,2,"Great work🔥, I love the shapes and colors😍",praise_admiration,high,admires work with words and emojis
AI,DS46sWajEKe,2,Wow 🔥🔥🔥😍,praise_admiration,high,admires work with emojis
AI,DT5TuKfjWvD,2,3rd image ❤️,praise_admiration,high,admires work with emoji
AI,DPZX0snCLqL,2,🤩 Fantastic! ✨ Love the light(s)!!!!,praise_admiration,high,"excited language, compliments, emoji"
AI,DVD1_XvCDTi,2,😢😍😍😍,emoji_only,high,no letters or digits
AI,DLGLX5bIe9Q,2,Aw I can’t believe I’m just now seeing these! They came out great!,praise_admiration,high,"admires work, uses exclamations"
AI,DU2oB0uCOGt,2,Amazing 🔥🔥🔥,praise_admiration,high,admires work with emojis
AI,DKYASe8Ivyo,2,❤️,emoji_only,high,no letters or digits
AI,DRPrkoRDOoZ,2,👏🙌❤️😍 great work bro,praise_admiration,high,admires work with emojis
AI,DQjRfrPkmrF,2,😍😍,emoji_only,high,no letters or digits
AI,DScKTvjDD6e,2,❤️😻❤️,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,2,Sugárzóan gyönyörű!❤️🔥👏👏,praise_admiration,high,admires the artwork
AI,DRhZaJnASMQ,2,Mesmerizing ❤️,praise_admiration,high,admires the work
AI,DLSxcoJNlxg,2,My soul is touched,praise_admiration,high,expresses genuine admiration or positivity IN WORDS
AI,DEglt6Xy4zZ,2,❤️❤️,emoji_only,high,no letters or digits
AI,CikP68Ej7du,2,Breathtaking peace 😍,praise_admiration,high,admires the work
AI,C3oeAHmu5gB,2,. . . Merit - Mérito,non_english,medium,contains non-English text
AI,DOtnkYcCt1X,2,Пусть будут крылья всегда 🪽- небо найдется 🤍🤍🤍,non_english,high,clearly written in another language
AI,DRSGIcZEQRC,2,Brilliant work dear💙🔥,praise_admiration,high,admires work with emojis
AI,CqW9uyIsXFJ,2,0 because it’s not art,authenticity_policing,medium,disputes legitimacy
AI,DTCBCWEEWGC,2,🥰❤👍🙏❤🥰,emoji_only,high,no letters or digits
AI,DT2lgb4k5Qe,2,アナモルフィックレンズの様なハレーションが入ると更に美しくなりそうです👏,praise_admiration,high,"admires work, uses Japanese phrase"
AI,DUlMAD2lRix,2,🤍🖤,emoji_only,high,no letters or digits
AI,DTv9sJGjD7-,2,wonderful work ❤️🙌,praise_admiration,high,admires the work
AI,DR2OG7qEjMb,2,❤️❤️❤️,emoji_only,high,no letters or digits
AI,DSLEWPjkgrL,2,Ficou top,praise_admiration,high,admires the work
AI,DR2Y8p9giTt,2,❤️🙌,emoji_only,high,no letters or digits
AI,DMV_EO1N3qS,2,🙌🙌🙌🙌🔥,emoji_only,high,no letters or digits
AI,DQGSvs-DDyl,2,❤️,emoji_only,high,no letters or digits
AI,DSad9F2jfva,2,Wow 👌 luxury ✨️ 😍 👌 😒 👏 😑 ✨️ 😍 👌,praise_admiration,high,admires work with emojis
AI,DSlL18bDEhJ,2,😍😍👏👏👏👏🔥🔥🔥 complimenti 💯,praise_admiration,high,Multiple enthusiastic emojis and words
AI,C-44eycs1H5,3,It's so soothing 😍😍😍,praise_admiration,high,admires work with emojis
AI,DVMb9kqElDz,3,Out standind❤️,praise_admiration,high,admires work with emoji
AI,DNSWhv1uGjZ,3,Preaching the truth💖💖💖,praise_admiration,high,admires work with emojis
AI,DMyBan2tx-f,3,"If I ever see a telephone booth again, I’ll feel exactly like this inside 🙌",humor_meme,high,clear joke reference
AI,DHOa6Ajt1dq,3,Very cool!,praise_admiration,high,expresses admiration in words
AI,C0sQkLEPkyC,3,🌲⭐️,emoji_only,high,no letters or digits
AI,DQcyILfj1Nx,3,🔥🔥🔥,emoji_only,high,no letters or digits
AI,DQhcx5VDMHT,3,❤️❤️❤️,emoji_only,high,no letters or digits
AI,DVYkAyEDF9p,3,"This is truly a magical work—it doesn’t just capture the eye, but touches the heart 💘 You’ve created a dream where feelings can be felt and soulful heal 🫶 Thank you for making and sharing this with us ✨ Absolutely gorgeous ☀️",praise_admiration,high,expresses genuine admiration
AI,Co-OeX8tLU-,3,Wow great concept and design,praise_admiration,high,"admires work, uses superlatives"
AI,DS46sWajEKe,3,😍😍😍,emoji_only,high,no letters or digits
AI,DT5TuKfjWvD,3,so sad,praise_admiration,high,expresses sadness as negative emotion
AI,DPZX0snCLqL,3,😍👏,emoji_only,high,no letters or digits
AI,DVD1_XvCDTi,3,Great 😍🔥,praise_admiration,high,admires the work
AI,DLGLX5bIe9Q,3,Beautiful ❤️❤️❤️❤️❤️,praise_admiration,high,admires work with emojis
AI,DKYASe8Ivyo,3,Fabulous ❤️❤️❤️❤️❤️,praise_admiration,high,mixed words with emoji
AI,DRPrkoRDOoZ,3,I would totally Wear that suite 😍,praise_admiration,high,admires the work
AI,DQjRfrPkmrF,3,👏👏,emoji_only,high,no letters or digits
AI,DScKTvjDD6e,3,🎀🎀🎀🎀,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,3,I❤️ART,praise_admiration,high,admires work with emoji
AI,DRhZaJnASMQ,3,Wonderful,praise_admiration,high,expresses genuine admiration
AI,DLSxcoJNlxg,3,"Только тот, кому снился такой сон, поймёт это чувство 💔",non_english,high,clearly written in another language
AI,DEglt6Xy4zZ,3,😍😍😍😍,emoji_only,high,no letters or digits
AI,CikP68Ej7du,3,Divine view ❤️,praise_admiration,high,admires the view
AI,C3oeAHmu5gB,3,😍😍😍😍🌟🌟🌟🌟◻️◻️◻️❤️🎈🌹,emoji_only,high,no letters or digits
AI,DOtnkYcCt1X,3,"One step of hope, a thousand steps of courage 🥹🪽",praise_admiration,high,admires work with emojis
AI,DRSGIcZEQRC,3,Awesome work Victoria 😮,praise_admiration,high,admires work with exclamation
AI,CqW9uyIsXFJ,3,"Amazing, izin save 😍",praise_admiration,high,admires work with emoji
AI,DTCBCWEEWGC,3,💞💞,emoji_only,high,no letters or digits
AI,DT2lgb4k5Qe,3,これですね😍💖めちゃくちゃ綺麗☺️🦋💫すーさんは光と影の表現が本当にお上手です👏💕💕,praise_admiration,high,admires work with emojis
AI,DUlMAD2lRix,3,🔥🔥🔥,emoji_only,high,no letters or digits
AI,DTv9sJGjD7-,3,Breathtaking piece! So wonderfully done👏👏👏❤️❤️❤️😍😍😍🌹🌹🌹⚘️⚘️⚘️,praise_admiration,high,admires the work
AI,DR2OG7qEjMb,3,😮,emoji_only,high,no letters or digits
AI,DSLEWPjkgrL,3,Perfect,praise_admiration,high,simple adjective
AI,DR2Y8p9giTt,3,😍😍😍,emoji_only,high,no letters or digits
AI,DMV_EO1N3qS,3,😍😍😍😍,emoji_only,high,no letters or digits
AI,DQGSvs-DDyl,3,😍👏👏,emoji_only,high,no letters or digits
AI,DSad9F2jfva,3,🔥🔥🔥,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,3,❤️❤️❤️🔥🔥 Beautiful 👏👏👏✨️😍✨️🤗,praise_admiration,high,admires work with emojis
AI,C-44eycs1H5,4,🔥❤️,emoji_only,high,no letters or digits
AI,DVMb9kqElDz,4,🔥🙌,emoji_only,high,no letters or digits
AI,DNSWhv1uGjZ,4,Powerful words under beautiful pieces. I’m glad you’re here and I’m sorry that’s been your experience recently.,praise_admiration,high,admires work and expresses sympathy
AI,DMyBan2tx-f,4,😍😍,emoji_only,high,no letters or digits
AI,DHOa6Ajt1dq,4,Hermoso 💚,praise_admiration,high,admires work with emoji
AI,C0sQkLEPkyC,4,This is metal 🤘,praise_admiration,high,admires work with language
AI,DQcyILfj1Nx,4,👏👏,emoji_only,high,no letters or digits
AI,DQhcx5VDMHT,4,😍😍,emoji_only,high,no letters or digits
AI,DVYkAyEDF9p,4,😍😍👏👏❤️❤️❤️,emoji_only,high,no letters or digits
AI,Co-OeX8tLU-,4,Crazy good! Keep it up 👏,praise_admiration,high,"admires work, uses exclamation"
AI,DT5TuKfjWvD,4,😢,emoji_only,high,no letters or digits
AI,DPZX0snCLqL,4,These are absolutely beautiful my dear Annette stunningly stunningly beautiful and christmasy too. ❤️❤️❤️❤️,praise_admiration,high,admires work with exclamations
AI,DVD1_XvCDTi,4,Awesome,praise_admiration,high,expresses strong positive sentiment
AI,DLGLX5bIe9Q,4,Beautifull 💚💚💚💚💚,praise_admiration,high,admires work with emojis
AI,DU2oB0uCOGt,4,"Magnifique, je suis admirative devant de créativité 👏👏🔥🔥",praise_admiration,high,"admires work, uses French words"
AI,DKYASe8Ivyo,4,😍😍❤️❤️,emoji_only,high,no letters or digits
AI,DRPrkoRDOoZ,4,So awesome friend!! Love these so much 🔥🔥🔥🔥🔥😍,praise_admiration,high,admires work with exclamations
AI,DQjRfrPkmrF,4,Fabulous 😍,praise_admiration,high,admires the work
AI,DScKTvjDD6e,4,🔥🔥🔥🔥🔥🔥🔥🔥,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,4,Beautiful ❤️,praise_admiration,high,admires the work
AI,DRhZaJnASMQ,4,😍,emoji_only,high,no letters or digits
AI,DLSxcoJNlxg,4,Thank you for making my dream come true.,praise_admiration,high,expresses genuine admiration
AI,DEglt6Xy4zZ,4,Lindo!❤️,praise_admiration,high,expresses admiration and positivity
AI,CikP68Ej7du,4,🔥🔥,emoji_only,high,no letters or digits
AI,C3oeAHmu5gB,4,That blue is so beautiful ✨💙🩵,praise_admiration,high,admires the color blue
AI,DOtnkYcCt1X,4,"was just sitting here thinking about how hard we all work for our kids. Sometimes we feel exhausted, but then we look at their sleeping faces and it’s all worth it. ❤️ I just posted a deep 'Mother’s Prayer' on my profile for anyone who needs a little extra strength today. It’s a reminder that you are doing an amazing job, Mama. 🕊️✨ Feel free to stop by my page if you need a daily dose of peace. We’re in this together! 🤱""",praise_admiration,high,expresses genuine admiration and positivity
AI,DRSGIcZEQRC,4,😍😍😍😍,emoji_only,high,no letters or digits
AI,CqW9uyIsXFJ,4,❤️❤️,emoji_only,high,no letters or digits
AI,DTCBCWEEWGC,4,❤️ukochaną piosenka dla ukochanej osoby ❤️🔥,praise_admiration,high,admires the work
AI,DT2lgb4k5Qe,4,Stunningly beautiful 😍😍🔥🔥❤️❤️,praise_admiration,high,admires work with emojis
AI,DUlMAD2lRix,4,🖤🖤🖤,emoji_only,high,no letters or digits
AI,DTv9sJGjD7-,4,Muy lindos los retratos. !!! Los haces tú,praise_admiration,high,admires the artwork
AI,DR2OG7qEjMb,4,🔥🔥🔥🔥,emoji_only,high,no letters or digits
AI,DSLEWPjkgrL,4,❤️🙌,emoji_only,high,no letters or digits
AI,DR2Y8p9giTt,4,👏,emoji_only,high,no letters or digits
AI,DMV_EO1N3qS,4,😮😮😮😍😍😍,emoji_only,high,no letters or digits
AI,DQGSvs-DDyl,4,❤️,emoji_only,high,no letters or digits
AI,DSad9F2jfva,4,Bellissimo - che concept pazzesco! 🤩,praise_admiration,high,"admires work, uses Italian words"
AI,DSlL18bDEhJ,4,❤️❤️❤️❤️🔥🔥🔥,emoji_only,high,no letters or digits
AI,C-44eycs1H5,5,😍😍❤️❤️,emoji_only,high,no letters or digits
AI,DVMb9kqElDz,5,🔥🔥🔥,emoji_only,high,no letters or digits
AI,DNSWhv1uGjZ,5,So true!!! Thank you for your words 💫 Lets shine together 💎,praise_admiration,high,expresses genuine admiration and positivity
AI,DMyBan2tx-f,5,✨💫,emoji_only,high,no letters or digits
AI,DHOa6Ajt1dq,5,❤️❤️❤️,emoji_only,high,no letters or digits
AI,C0sQkLEPkyC,5,Yesss bro this is it,praise_admiration,high,"excited language, mild profanity"
AI,DQcyILfj1Nx,5,🔥🖤🤍🖤,emoji_only,high,no letters or digits
AI,DQhcx5VDMHT,5,👏❤️🔥,emoji_only,high,no letters or digits
AI,DVYkAyEDF9p,5,Gorgeous!,praise_admiration,high,expresses genuine admiration
AI,Co-OeX8tLU-,5,Wonderful 🔥,praise_admiration,high,admires the work
AI,DS46sWajEKe,5,"O extraordinário é tão longe, e tão perto ao mesmo tempo ❤️‍🔥",praise_admiration,high,admires the artwork
AI,DT5TuKfjWvD,5,"While I see a distraught penguin, I can't help but applaud (and envy) the courage to make the (tough) call. One might say it's giving up, while it could also be coming to terms with the situations! So much to interpret, so little to infer.",praise_admiration,high,"admires courage, interprets complexity"
AI,DPZX0snCLqL,5,So cute 🔥🔥🧡,praise_admiration,high,admires work with exclamations
AI,DVD1_XvCDTi,5,😍,emoji_only,high,no letters or digits
AI,DLGLX5bIe9Q,5,🔥🔥,emoji_only,high,no letters or digits
AI,DU2oB0uCOGt,5,WOW!!🔥 Really Magnificent set!🔥🔥🐴🌹🔥🔥 Well done!!!🔥🔥👏🏻👏🏻👏🏻👏🏻👏🏻,praise_admiration,high,admires work with exclamations
AI,DKYASe8Ivyo,5,❤️,emoji_only,high,no letters or digits
AI,DRPrkoRDOoZ,5,Perfect 👏,praise_admiration,high,admires the work
AI,DQjRfrPkmrF,5,This is beautiful,praise_admiration,high,expresses genuine admiration or positivity IN WORDS
AI,DScKTvjDD6e,5,😍😍😍😍😍😍😍❤️❤️🔥🔥🔥,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,5,🔥🔥🔥❤️❤️❤️,emoji_only,high,no letters or digits
AI,DRhZaJnASMQ,5,Wow 🔥🔥,praise_admiration,high,admires the work
AI,DLSxcoJNlxg,5,"i believe this is what my mom is doing right now in heaven,, last may was her 57th birthday, but God wanted her to be forever 55 years old.. Rest in love my dear Mother.. until we meet again❤️ from your forever little boy.",praise_admiration,high,expresses love and admiration
AI,DEglt6Xy4zZ,5,@stevenmrankin ❤️,praise_admiration,high,admires work with emoji
AI,CikP68Ej7du,5,Feeling like paradise 😍✨✨,praise_admiration,high,expresses admiration and positivity
AI,C3oeAHmu5gB,5,Gorgeous,praise_admiration,high,expresses genuine admiration
AI,DOtnkYcCt1X,5,🕊️🤍🕊️🤍🕊️🤍🕊️🤍🕊️,emoji_only,high,no letters or digits
AI,DRSGIcZEQRC,5,💙💙,emoji_only,high,no letters or digits
AI,CqW9uyIsXFJ,5,❤️🔥,emoji_only,high,no letters or digits
AI,DTCBCWEEWGC,5,😮👏😍,emoji_only,high,no letters or digits
AI,DT2lgb4k5Qe,5,Stunning 🔥❤️,praise_admiration,high,admires work with words and emojis
AI,DUlMAD2lRix,5,🔥🔥,emoji_only,high,no letters or digits
AI,DTv9sJGjD7-,5,Очень красиво 👏👏👏👏👏❤️❤️❤️❤️❤️🌹🌹🌹🌹🌹,praise_admiration,high,expresses admiration and positivity
AI,DR2OG7qEjMb,5,So amazingly crafted ❤️🙌,praise_admiration,high,admires work with words
AI,DSLEWPjkgrL,5,🔥🔥🔥🔥,emoji_only,high,no letters or digits
AI,DR2Y8p9giTt,5,😍😍,emoji_only,high,no letters or digits
AI,DMV_EO1N3qS,5,🧡,emoji_only,high,no letters or digits
AI,DQGSvs-DDyl,5,@cemadrian 🙌,praise_admiration,high,expresses excitement and admiration
AI,DSad9F2jfva,5,🔥🔥🔥🔥,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,5,❤️❤️,emoji_only,high,no letters or digits
AI,C-44eycs1H5,6,😍😍😍😍😍🤍💕,emoji_only,high,no letters or digits
AI,DVMb9kqElDz,6,"These are stunning images,  dear Katie💞💙💜💙💞",praise_admiration,high,admires work with emojis
AI,DNSWhv1uGjZ,6,Beautiful said and couldn't agree more💖💖💖💖💖,praise_admiration,high,"admires work, uses emojis"
AI,DMyBan2tx-f,6,😍😍😍,emoji_only,high,no letters or digits
AI,DHOa6Ajt1dq,6,🔥🔥🔥🔥,emoji_only,high,no letters or digits
AI,C0sQkLEPkyC,6,I think 2 sleighs 🤘,humor_meme,high,clear joke reference
AI,DQcyILfj1Nx,6,This is super cool work as always 😍😍,praise_admiration,high,admires work with emojis
AI,DQhcx5VDMHT,6,😍😍😍😍😍,emoji_only,high,no letters or digits
AI,Co-OeX8tLU-,6,How did you do it? 😯,praise_admiration,high,admires the work
AI,DS46sWajEKe,6,O sonho da minha vida morar literalmente no meio do mato🥹😍❤️❤️,non_english,high,clearly written in another language
AI,DT5TuKfjWvD,6,The second one is besttt,humor_meme,high,clear joke/pun
AI,DPZX0snCLqL,6,Stuunninngggg😍😍😍😍😍😍😍,praise_admiration,high,Multiple enthusiastic emojis
AI,DVD1_XvCDTi,6,🔥🔥😍,emoji_only,high,no letters or digits
AI,DLGLX5bIe9Q,6,This gives so much dopamine to look at. I love pink,praise_admiration,high,expresses admiration and love for the artwork
AI,DU2oB0uCOGt,6,"Wow, amazing 🔥🔥🖤🖤😍😍",praise_admiration,high,admires the work
AI,DKYASe8Ivyo,6,😍😍,emoji_only,high,no letters or digits
AI,DRPrkoRDOoZ,6,Sleek 🔥🔥,praise_admiration,high,admires work with emojis
AI,DQjRfrPkmrF,6,"Oh my! I adore the sea and dolphins! I am def stealing this creation - not to credit it as mine, evidently, but to admire it in my phone gallery 🤭",praise_admiration,high,admires the artwork
AI,DScKTvjDD6e,6,🎄🎄🎄🎄,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,6,Beautiful ❤️,praise_admiration,high,expresses admiration
AI,DRhZaJnASMQ,6,🔥🔥🔥incredible,praise_admiration,high,admires work with emojis
AI,DLSxcoJNlxg,6,"I always see myself flying in my dreams. I used to wish so deeply to have such a power — to be able to fly. This video really touched me. After watching it closely, I closed my eyes and found myself inside the music, inside the video — it felt like I was truly flying.",praise_admiration,high,expresses genuine admiration
AI,DEglt6Xy4zZ,6,Nice scene ❤️,praise_admiration,high,admires the scene
AI,CikP68Ej7du,6,Such a beautiful looking creation.,praise_admiration,high,expresses genuine admiration
AI,C3oeAHmu5gB,6,Se parece a mis sueños 💙,non_english,high,contains Spanish words
AI,DOtnkYcCt1X,6,💕🦋,emoji_only,high,no letters or digits
AI,DRSGIcZEQRC,6,😍😍😍,emoji_only,high,no letters or digits
AI,CqW9uyIsXFJ,6,😍,emoji_only,high,no letters or digits
AI,DTCBCWEEWGC,6,🔥❤️🔥❤️🔥❤️🔥❤️🤍❤️🤍❤️🤍,emoji_only,high,no letters or digits
AI,DT2lgb4k5Qe,6,😍😍😍😍😍😍,emoji_only,high,no letters or digits
AI,DUlMAD2lRix,6,😍😍😍😍,emoji_only,high,no letters or digits
AI,DTv9sJGjD7-,6,Amazing work Gabriella ✨✨✨,praise_admiration,high,admires work with emojis
AI,DR2OG7qEjMb,6,💯💯💯🫂🫂🫂🙏🏻🫀🫀🫀🫂🫂🫂🫂💯💯💯💯👾👾👾👾👾🫂🫂🫂🌔🌔🌔🌔🌔🫂🫂🫂🤶🏻🤶🏻🤶🏻🫂🫂🫂🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🫂🫂🫂🫂🫂🫀🫀🫀🫂🫂🫂🫂🔪🔪🔪🔪,emoji_only,high,no letters or digits
AI,DSLEWPjkgrL,6,Mashallah,praise_admiration,high,Arabic phrase for 'good job'
AI,DR2Y8p9giTt,6,😍😍😍😍,emoji_only,high,no letters or digits
AI,DMV_EO1N3qS,6,😍👏👏👏👏,emoji_only,high,no letters or digits
AI,DQGSvs-DDyl,6,Amazing aiart send please 😍,praise_admiration,high,admires work with emoji
AI,DSad9F2jfva,6,تو عمرم همچین صحنه ای ندیدم چقدر جزاب❤️❤️❤️❤️❤️❤️❤️❤️حیف که ما پراید هم نداریم,non_english,high,contains non-English characters
AI,DSlL18bDEhJ,6,❤️❤️❤️ MAJIQUE ❤️🙏🙋,praise_admiration,high,admires work with emojis
AI,C-44eycs1H5,7,❤️❤️❤️❤️❤️,emoji_only,high,no letters or digits
AI,DVMb9kqElDz,7,Absolutely incredible 🔥🔥,praise_admiration,high,admires work with exclamations
AI,DNSWhv1uGjZ,7,"Awww I could tell you were a sweetheart, I think you’re great and I love your work! 💖💖💖",praise_admiration,high,admires work and expresses positivity
AI,DMyBan2tx-f,7,🌺❤️💗🍁💐🌹,emoji_only,high,no letters or digits
AI,DHOa6Ajt1dq,7,😍😍😍😍😍😍😍,emoji_only,high,no letters or digits
AI,C0sQkLEPkyC,7,❤️❤️❤️,emoji_only,high,no letters or digits
AI,DQcyILfj1Nx,7,😍😍😍,emoji_only,high,no letters or digits
AI,DQhcx5VDMHT,7,"Oh, that is a happy soul! 😊",praise_admiration,high,expresses genuine admiration
AI,DS46sWajEKe,7,Que belleza total xd😍❤️,praise_admiration,high,admires work with emojis
AI,DT5TuKfjWvD,7,Too good boss!! 🥹,praise_admiration,high,"admires work, uses enthusiastic language"
AI,DPZX0snCLqL,7,Gorgeous😍😍😍,praise_admiration,high,admires work with emojis
AI,DVD1_XvCDTi,7,😍😍😍,emoji_only,high,no letters or digits
AI,DLGLX5bIe9Q,7,Love how the cat change alongside the styling! ❤️,praise_admiration,high,"admires styling, uses ❤️"
AI,DU2oB0uCOGt,7,Beautiful work ❤️❤️❤️❤️❤️,praise_admiration,high,admires work with emojis
AI,DKYASe8Ivyo,7,Breathtaking 😍😍😍,praise_admiration,high,admires work with emojis
AI,DRPrkoRDOoZ,7,Que lindo 😍,praise_admiration,high,admires work with emoji
AI,DQjRfrPkmrF,7,Yes feeling the ☀️☀️,praise_admiration,high,admires the artwork
AI,DScKTvjDD6e,7,🎅🎅🎅🎅,emoji_only,high,no letters or digits
AI,DSlL18bDEhJ,7,❤️❤️😍😍🔥🔥👏👏,emoji_only,high,no letters or digits
AI,DRhZaJnASMQ,7,Celestial witness,praise_admiration,high,"beautiful phrase, poetic"
AI,DLSxcoJNlxg,7,"Все жизнь мне снятся такие сны😍 Не знаю, что они значат, но это мое любимое кино 🥹",non_english,high,contains Cyrillic characters
AI,DEglt6Xy4zZ,7,"She rejected him. Might be nature beautiful, but not her nature.",praise_admiration,high,admires the artwork
AI,CikP68Ej7du,7,I love the music 🔥,praise_admiration,high,expresses admiration and excitement
AI,C3oeAHmu5gB,7,🔥 Looks Amazon,praise_admiration,high,admires the work
AI,DOtnkYcCt1X,7,😍,emoji_only,high,no letters or digits
AI,DRSGIcZEQRC,7,❤️❤️💙🙌🙌🙌🙌😍😍😍😍,emoji_only,high,no letters or digits
AI,CqW9uyIsXFJ,7,10❤️,praise_admiration,high,admires work with emoji
AI,DTCBCWEEWGC,7,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,emoji_only,high,no letters or digits
AI,DT2lgb4k5Qe,7,"Wow, it's so beautiful! ❤️😍🤩😍🥰🥰😘😘🥰",praise_admiration,high,admires the work
AI,DUlMAD2lRix,7,❤️❤️❤️❤️❤️,emoji_only,high,no letters or digits
AI,DTv9sJGjD7-,7,Gorgeous 👏😍❤️🔥,praise_admiration,high,admires work with emojis
AI,DR2OG7qEjMb,7,The panther🔥🙌🙌🙌🙌,praise_admiration,high,admires work with emojis
AI,DSLEWPjkgrL,7,If this is the new cast in total watching it🙌😍😍😍,praise_admiration,high,admires work with exclamations
